"created_at","msg_timestamp","position_updated_at","mmsi","latitude","longitude","speed","course","heading","status","maneuver","accuracy","rot","collection_type"
"2024-01-24T10:37:17.571+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",503000195,-33.0162083333333,137.591933333333,0,288.2,309,8,0,FALSE,0,"satellite"
"2024-01-24T06:58:24.949+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",412209140,40.2961733333333,122.011353333333,10.1,270.4,511,0,0,TRUE,128,"dynamic_classA"
"2024-01-24T06:55:18.705+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",413342820,29.786885,122.10637,0,83,511,NA,NA,FALSE,NA,"dynamic_classB"
"2024-01-24T07:01:39.129+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",533000325,1.35009,103.54948,0,360,511,0,0,TRUE,128,"dynamic_classA"
"2024-01-24T07:05:08.796+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",271001068,39.8814383333333,26.1542083333333,0,187.1,511,NA,NA,FALSE,NA,"dynamic_classB"
"2024-01-24T07:14:31.503+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440066360,34.9052633333333,127.669706666667,0,232.7,220,0,0,FALSE,4,"dynamic_classA"
"2024-01-24T07:14:31.503+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440170710,34.8611383333333,127.751043333333,0,29,278,0,0,FALSE,6,"dynamic_classA"
"2024-01-24T06:59:11.639+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:53:49+00:00",525022259,1.24761166666667,103.75946,6.3,83.5,511,NA,NA,FALSE,NA,"dynamic_classB"
"2024-01-24T08:18:01.256+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",367770980,55.3705716666667,-131.72722,8.9,136.9,134,12,0,TRUE,0,"satellite"
"2024-01-24T07:12:23.827+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",413331340,38.9759716666667,117.78991,0,264.6,203,0,0,FALSE,128,"dynamic_classA"
"2024-01-24T07:05:06.114+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440101696,35.4093533333333,129.370445,0.1,297.9,511,15,0,FALSE,128,"dynamic_classA"
"2024-01-24T07:12:15.334+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",312271000,31.1872016666667,32.3342633333333,6.9,196,192,0,0,FALSE,129,"dynamic_classA"
"2024-01-24T06:59:09.784+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440136360,35.5023716666667,129.389068333333,0.1,303.2,305,0,0,TRUE,128,"dynamic_classA"
"2024-01-24T06:59:09.784+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440153840,35.454935,129.380241666667,0.1,25,511,0,3,FALSE,128,"dynamic_classA"
"2024-01-24T07:10:18.59+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",710022910,-23.9185916666667,-46.3678966666667,0,97.2,97,NA,NA,FALSE,NA,"dynamic_classB"
"2024-01-24T07:09:20.424+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",710015850,-1.44304,-48.4968133333333,0,220,511,1,0,TRUE,128,"dynamic_classA"
"2024-01-24T07:05:56.002+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",368068030,29.3760366666667,-94.87114,0,176.7,105,12,0,TRUE,0,"dynamic_classA"
"2024-01-24T07:02:55.463+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",525900343,1.14272333333333,103.91005,8.1,334.5,511,NA,NA,FALSE,NA,"dynamic_classB"
"2024-01-24T07:03:10.522+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440108360,35.1286683333333,128.691033333333,0.1,44.7,0,0,0,TRUE,128,"dynamic_classA"
"2024-01-24T07:04:18.509+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",244002247,52.4057566666667,4.86771666666667,0.1,190.2,511,5,0,TRUE,128,"dynamic_classA"
"2024-01-24T06:59:09.784+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",440033890,35.5023433333333,129.389645,0,22.8,177,0,0,FALSE,1,"dynamic_classA"
"2024-01-24T07:01:20.567+00:00","2024-01-24T06:54:00+00:00","2024-01-24T06:54:00+00:00",227023200,49.45442,0.171783333333333,0,66,189,0,0,TRUE,0,"dynamic_classA"
